county_name,%mortgages_valued_<$50K,%mortgages_valued_$50-99K,%mortgages_valued_$100-299K,%mortgages_valued_$300-499K,%mortgages_valued_$500-749K,%mortgages_valued_$750-999K,%mortgages_valued_>$1M,Median Value of Mortgages ($),% Household income <$10K,% Household income $10K-$24K,% Household income $25K-34K,%household_income_$35K-$49K,%household_income_$50K-$74K,%household_income_$75K-$99K,%household_income_$100K-$150K,%household_income_>$150K,median_household_income$_2017,mortgage_to_income_Ratio_<2,mortgage_to_income_Ratio_2-2.9,mortgage_to_income_Ratio_3-3.9,mortgage_to_income_Ratio_>4.0,state_county_fips
Alameda,1.2,0.6,7.0,20.8,31.3,21.8,17.2,662100,1.3,3.1,2.6,4.9,10.0,11.2,23.1,43.7,134673,7.7,15.0,17.9,59.0,6001
Contra Costa,1.3,0.8,14.2,29.8,22.5,14.6,16.8,543400,1.4,3.4,3.0,6.0,11.9,12.2,22.9,39.2,124265,10.8,17.8,18.6,52.4,6013
Los Angeles,1.6,0.9,13.1,34.7,25.9,10.7,13.1,498400,2.0,5.1,4.5,8.1,15.1,14.2,22.0,29.0,101782,8.6,14.6,16.4,59.8,6037
San Francisco,1.0,0.4,2.0,5.8,21.8,24.4,44.5,943700,1.4,3.2,2.3,4.1,8.3,9.5,19.3,51.8,155398,5.8,9.8,13.1,70.9,6075
San Mateo,1.0,0.5,2.0,6.7,22.8,23.5,43.4,930200,1.2,2.9,2.1,4.0,8.5,9.8,20.4,51.1,153124,4.9,8.4,13.3,73.0,6081
Santa Clara,1.1,0.6,3.1,10.9,26.6,22.6,35.0,834700,1.3,2.6,2.1,4.0,8.5,9.3,20.1,52.1,155505,6.3,10.7,15.5,67.1,6085
"Cook, IL",2.9,8.6,53.1,21.8,7.8,2.9,2.8,234000,2.4,5.6,5.3,9.0,16.6,15.2,21.3,24.7,92688,37.1,24.6,13.4,24.3,17031
"Kings (Brooklyn), NY",1.7,1.0,8.5,23.5,29.2,15.3,20.8,631600,2.4,5.1,4.6,7.9,14.2,14.2,21.6,30.0,102929,9.3,11.2,12.5,66.4,36047
"New York (Manhattan), NY",1.0,0.8,4.2,11.7,20.5,15.6,46.0,935900,2.3,2.7,1.7,3.3,6.0,7.3,16.6,60.2,191496,12.9,15.5,15.2,55.6,36061
"Multnomah, OR",1.9,0.8,39.2,36.2,14.9,4.5,2.4,336600,2.0,4.3,4.4,9.0,17.1,16.7,24.3,22.2,94366,15.8,24.9,20.4,38.4,41051
"King, WA",1.5,0.7,21.5,33.5,23.7,10.8,8.2,451800,1.4,2.7,2.8,5.7,12.3,13.1,24.1,37.9,122404,15.2,23.6,19.7,41.2,53033
